Data da Venda,Produto,Quantidade,Preço,Região,Vendedor,Total de Vendas
2024-01-11,drop,59,317,New Tiffanyland,Bryan Morton,18703
2024-09-10,animal,13,102,Anthonychester,Mariah Clark,1326
2024-10-15,whole,71,229,South Jonathanstad,Jasmine Hall,16259
2024-04-09,majority,90,443,North Brendaview,Roberto Allen,39870
2024-03-08,identify,40,470,Lauraland,Brandi Mcfarland,18800
2024-05-18,same,73,106,Derekburgh,Tracy Wilkerson,7738
2024-02-18,moment,36,285,Smithmouth,Kaylee Zimmerman,10260
2024-01-12,hundred,20,149,North Jennifer,Brenda Smith MD,2980
2024-06-27,phone,66,301,New Julie,Ashley Moore,19866
2024-03-01,far,62,473,Brownton,Zachary Vasquez,29326
2024-09-14,us,90,344,Johnsonmouth,Troy Gates,30960
2024-04-14,somebody,22,281,Gregorymouth,Andrea Parker,6182
2024-03-21,act,100,88,Smithside,Justin Peterson,8800
2024-03-06,weight,72,332,South Jacob,Patrick Benson,23904
2024-09-18,difference,51,491,Reidburgh,Anthony Williams,25041
2024-10-13,down,72,425,East Heather,Jacob Davis,30600
2024-03-14,these,14,298,South Ericborough,Jonathan Murphy,4172
2024-03-06,save,52,57,East Jeffrey,Julia Jones,2964
2024-07-18,high,73,189,Riceborough,Ruben Novak,13797
2024-01-04,see,24,378,New Miguelstad,Christopher Mcdaniel,9072
2024-08-08,season,28,315,Danielburgh,Jeffrey Cameron,8820
2024-09-21,face,22,33,Heatherland,Matthew Carpenter,726
2024-02-05,both,34,38,Port Stacytown,Lorraine Mitchell,1292
2024-04-19,with,31,316,East Tammy,Dennis George,9796
2024-08-11,serve,33,94,Sharonside,Catherine Turner,3102
2024-09-08,involve,16,335,New Elizabethstad,Matthew Brown,5360
2024-09-23,attorney,1,129,Whitehaven,Nicole Jones,129
2024-07-05,dog,100,301,North Thomas,Bruce Collins,30100
2024-07-17,director,63,20,Tracishire,Virginia Jensen,1260
2024-08-23,another,64,315,Harrisfort,Robert Rodriguez,20160
2024-08-27,within,63,312,South Ronald,Jeffrey Nguyen,19656
2024-03-09,buy,23,340,New Carlosstad,Stephanie George,7820
2024-07-07,indeed,8,190,Brownmouth,Kristy Macdonald,1520
2024-03-07,whose,16,433,Jamesmouth,Kyle Pena,6928
2024-05-29,special,26,391,Sydneyland,Lisa Sanchez,10166
2024-05-23,international,75,17,North Billyhaven,Albert Collins,1275
2024-03-10,fire,56,114,North Jesse,Holly Kennedy,6384
2024-09-20,education,39,18,Lake Kevin,Randy Kemp,702
2024-04-07,half,14,452,Port Courtneyton,Marcia Gonzalez,6328
2024-04-03,building,69,462,Jessicatown,Kelly Crawford,31878
2024-07-29,avoid,88,328,Prattborough,Terry Oconnell,28864
2024-02-28,deep,14,404,Zacharyberg,Nathan Ball,5656
2024-09-01,both,62,485,West Jamesborough,Joseph Watson,30070
2024-07-29,along,10,473,Mendezmouth,Amber Wright,4730
2024-01-22,per,65,296,East Jeffrey,Carla Barnett,19240
2024-02-11,exist,100,423,Jacksonport,Christine Gaines,42300
2024-05-08,people,55,390,Brittanyville,Mary Guerra,21450
2024-08-05,view,93,322,Lake Allisonburgh,Vincent Phillips,29946
2024-03-09,particularly,48,235,North Danielton,Jerry Mack,11280
2024-05-16,read,65,438,South Aaron,Mr. Jesse Jones MD,28470
2024-06-30,different,89,113,Crystalshire,Barry Hernandez,10057
2024-02-22,smile,95,38,Michaeltown,Cynthia Garza,3610
2024-09-08,car,77,377,East Heather,Andrew Allen,29029
2024-08-09,head,90,339,East Christina,Megan Murphy,30510
2024-03-03,safe,27,242,West Brandon,Emily Sherman,6534
2024-10-11,music,60,17,Elizabethmouth,Dylan Castro,1020
2024-04-08,skill,79,499,Lake Michael,Adam Acosta,39421
2024-02-07,a,79,367,Rogershire,David Hernandez,28993
2024-05-30,two,79,449,North Manuel,Alexis Wilson,35471
2024-06-13,run,86,127,Smithton,Shannon Wiley,10922
2024-05-16,dog,97,475,Lake Matthewfurt,Dr. Thomas Johnson MD,46075
2024-03-26,thus,49,105,Jamesborough,Linda Patterson,5145
2024-07-13,practice,51,388,Port John,Sarah Costa,19788
2024-07-07,opportunity,73,335,Simonville,Amber Sparks,24455
2024-01-26,feeling,7,232,Christineview,Brittany Wilson,1624
2024-08-17,respond,80,271,New Megan,Julie Guzman,21680
2024-04-06,husband,18,346,Christopherborough,Brenda Walsh,6228
2024-10-01,nothing,82,410,Sarahburgh,Brittany Rivera,33620
2024-07-01,employee,25,393,Lake Sandraport,Derek Johnson,9825
2024-07-20,maintain,68,137,East Kent,Pamela Bryant,9316
2024-05-13,what,6,87,Jackhaven,Audrey Saunders,522
2024-06-10,program,72,69,Jasonmouth,April Mcdonald,4968
2024-01-09,law,2,103,Lake Jason,Robert Owens,206
2024-07-09,system,86,272,Nashland,Aaron Lopez,23392
2024-03-10,performance,7,298,Lake Sherrystad,Joe Stewart,2086
2024-05-08,challenge,34,61,South Desiree,Shawn Johns,2074
2024-05-08,property,23,90,North Steven,Michele Dominguez,2070
2024-02-27,drive,58,291,Jordanport,Christine Jordan,16878
2024-03-18,minute,99,348,Paulaburgh,Ann Griffith,34452
2024-05-01,reach,16,139,Meganhaven,Anna Ayers,2224
2024-08-10,list,9,316,Lake Angelaton,Tony Hill,2844
2024-09-21,painting,32,345,West Cody,Sandra Hernandez,11040
2024-09-28,fast,32,456,Port Elizabethfurt,Mr. Manuel Buckley,14592
2024-01-30,daughter,37,279,Calvintown,Peter Clark,10323
2024-02-21,where,67,49,Mejiashire,Elizabeth Reynolds,3283
2024-05-27,security,49,148,Lake Katie,Aaron Pena,7252
2024-02-08,spend,56,196,Lake Angelahaven,Heather Dickerson,10976
2024-03-11,produce,21,332,Carrieside,Megan Thomas,6972
2024-04-24,them,13,97,Jonathanland,Antonio Knight,1261
2024-06-12,often,9,262,New Patricia,Kathryn Moyer,2358
2024-05-03,set,68,245,Ritaton,Kimberly Castillo,16660
2024-04-20,mind,31,474,Keithside,Joshua Kelley,14694
2024-09-03,thank,20,186,Lake Jonathon,Steve Bailey,3720
2024-03-31,key,73,176,Fowlerport,Emily Anderson,12848
2024-02-25,response,44,150,South Timothy,Rodney Nolan,6600
2024-10-07,right,15,153,New Claire,Dennis Wallace,2295
2024-04-26,partner,33,96,Mccarthyburgh,Brandon Nguyen,3168
2024-07-17,second,12,408,Meganberg,Carl Crawford,4896
2024-05-10,employee,24,411,Lake Robert,Brandon Good,9864
2024-07-17,pressure,98,345,South Annville,Lance Vaughn MD,33810
2024-09-19,bring,38,238,Adamsshire,Mark Burns,9044
2024-01-03,anyone,9,255,Wellsshire,Daniel Hernandez,2295
2024-05-22,commercial,40,278,East Rogerberg,Ricky Daniel,11120
2024-05-08,however,99,498,Arnoldtown,Erica Horton,49302
2024-06-03,because,22,393,North Joseph,Ashley Olson,8646
2024-08-07,role,78,397,Douglasport,Jason Christensen,30966
2024-07-16,we,33,456,South Markbury,Michael Atkins,15048
2024-07-17,although,44,217,Nelsonbury,Samantha Green,9548
2024-05-29,not,58,265,Lake Christineton,Lisa Johnson,15370
2024-09-22,traditional,7,48,Sarahton,Nicole Stevens,336
2024-08-29,truth,84,312,Port Melanieshire,Selena Johnson,26208
2024-01-22,family,20,124,South Allison,Krystal Kelly,2480
2024-03-28,maybe,29,112,New Chrisside,Andrew Fitzgerald,3248
2024-03-23,show,23,51,Williamsland,Cynthia Howard,1173
2024-05-17,simple,12,284,Avilaborough,Lisa Herrera,3408
2024-07-02,break,27,245,North Brian,James Powell,6615
2024-06-27,assume,95,394,Monicashire,Lisa Parker,37430
2024-03-27,war,50,169,New Robertmouth,Kellie Jacobs,8450
2024-01-23,person,36,256,Port Joshua,Travis Hughes,9216
2024-03-30,building,5,409,New Ryan,David Smith,2045
2024-10-11,safe,84,465,Brightmouth,Glenn Long,39060
2024-08-11,question,41,198,Port Nicholas,William Fritz,8118
2024-08-11,avoid,25,396,Barryfurt,Jesse Palmer,9900
2024-04-16,cup,23,58,Gomezview,Tony Moreno,1334
2024-09-10,lead,34,490,Christopherport,Haley Barnett,16660
2024-08-20,individual,60,285,Juliestad,Alice Weeks,17100
2024-04-05,benefit,93,313,West Taylor,Jason Downs,29109
2024-04-08,phone,64,397,Michaelton,Jennifer Anderson,25408
2024-04-01,chair,45,323,North Ericland,Dean Gilbert,14535
2024-10-15,read,86,384,New Jo,Dawn Park,33024
2024-03-03,agency,24,20,Susanfort,Colleen Case,480
2024-08-10,analysis,93,94,New Patriciamouth,Eduardo Goodwin,8742
