Data da Venda,Produto,Quantidade,Preço,Região,Vendedor
2024-04-24,them,13,97,Jonathanland,Antonio Knight
2024-06-12,often,9,262,New Patricia,Kathryn Moyer
2024-05-03,set,68,245,Ritaton,Kimberly Castillo
2024-04-20,mind,31,474,Keithside,Joshua Kelley
2024-09-03,thank,20,186,Lake Jonathon,Steve Bailey
2024-03-31,key,73,176,Fowlerport,Emily Anderson
2024-02-25,response,44,150,South Timothy,Rodney Nolan
2024-10-07,right,15,153,New Claire,Dennis Wallace
2024-04-26,partner,33,96,Mccarthyburgh,Brandon Nguyen
2024-07-17,second,12,408,Meganberg,Carl Crawford
2024-05-10,employee,24,411,Lake Robert,Brandon Good
2024-07-17,pressure,98,345,South Annville,Lance Vaughn MD
2024-09-19,bring,38,238,Adamsshire,Mark Burns
2024-01-03,anyone,9,255,Wellsshire,Daniel Hernandez
2024-05-22,commercial,40,278,East Rogerberg,Ricky Daniel
2024-05-08,however,99,498,Arnoldtown,Erica Horton
2024-06-03,because,22,393,North Joseph,Ashley Olson
2024-08-07,role,78,397,Douglasport,Jason Christensen
2024-07-16,we,33,456,South Markbury,Michael Atkins
2024-07-17,although,44,217,Nelsonbury,Samantha Green
2024-05-29,not,58,265,Lake Christineton,Lisa Johnson
2024-09-22,traditional,7,48,Sarahton,Nicole Stevens
2024-08-29,truth,84,312,Port Melanieshire,Selena Johnson
2024-01-22,family,20,124,South Allison,Krystal Kelly
2024-03-28,maybe,29,112,New Chrisside,Andrew Fitzgerald
2024-03-23,show,23,51,Williamsland,Cynthia Howard
2024-05-17,simple,12,284,Avilaborough,Lisa Herrera
2024-07-02,break,27,245,North Brian,James Powell
2024-06-27,assume,95,394,Monicashire,Lisa Parker
2024-03-27,war,50,169,New Robertmouth,Kellie Jacobs
2024-01-23,person,36,256,Port Joshua,Travis Hughes
2024-03-30,building,5,409,New Ryan,David Smith
2024-10-11,safe,84,465,Brightmouth,Glenn Long
2024-08-11,question,41,198,Port Nicholas,William Fritz
2024-08-11,avoid,25,396,Barryfurt,Jesse Palmer
2024-04-16,cup,23,58,Gomezview,Tony Moreno
2024-09-10,lead,34,490,Christopherport,Haley Barnett
2024-08-20,individual,60,285,Juliestad,Alice Weeks
2024-04-05,benefit,93,313,West Taylor,Jason Downs
2024-04-08,phone,64,397,Michaelton,Jennifer Anderson
2024-04-01,chair,45,323,North Ericland,Dean Gilbert
2024-10-15,read,86,384,New Jo,Dawn Park
2024-03-03,agency,24,20,Susanfort,Colleen Case
2024-08-10,analysis,93,94,New Patriciamouth,Eduardo Goodwin
